Fréquences Hz;A entrée (v);A sortie (v)
500000;10.9;9.25
1000000;10.5;8.58
1500000;10.8;8.58
2000000;10.5;8.04
2500000;10.5;7.92
3000000;10.5;7.77
3500000;10.2;7.50
4000000;10.3;7.40
4500000;10.4;7.23
5000000;10.4;7.09
5500000;10.5;6.82
6000000;10.5;6.69
6500000;10.4;6.60
7000000;10.3;6.50
7500000;10.5;6.40
8000000;10.5;6.28
8500000;10.5;6.15
9000000;10.4;6.01
9500000;10.7;5.88
10000000;10.5;5.88
10500000;10.5;5.74
11000000;10.5;5.61
11500000;10.6;5.61
12000000;10.8;5.47
12500000;10.8;5.40
13000000;10.7;5.34
13500000;10.8;5.20
14000000;10.8;5.18
14500000;10.6;5.07
15000000;10.6;5.07
15500000;10.7;4.93
16000000;10.7;4.93
16500000;10.7;4.80
17000000;10.7;4.80
17500000;10.7;4.66
18000000;10.6;4.66
18500000;10.6;4.63
19000000;10.7;4.53
19500000;10.6;4.39
20000000;10.6;4.35
20500000;10.6;4.25
21000000;10.6;4.25
21500000;10.7;4.19
22000000;10.6;4.12
22500000;10.5;4.05
23000000;10.6;3.98
23500000;10.5;3.98
24000000;10.4;3.95
24500000;10.4;3.85
25000000;10.6;3.85
25500000;10.4;3.85
26000000;10.7;3.71
26500000;10.6;3.71
27000000;10.6;3.65
27500000;10.5;3.58
28000000;10.6;3.58
28500000;10.4;3.51
29000000;10.6;3.48
29500000;10.5;3.44
30000000;10.7;3.2
30500000;10.6;3.12
31000000;11.0;3.12
31500000;10.9;3.04
32000000;11.0;3.0
32500000;10.9;2.95
33000000;11.2;3.0
33500000;11.2;2.87
34000000;11.2;2.90
34500000;11.0;2.85
35000000;11.4;2.86
35500000;11.3;2.82
36000000;11.6;2.78
36500000;11.5;2.74
37000000;11.5;2.70
37500000;11.4;2.70
38000000;11.7;2.70
38500000;11.9;2.65
39000000;11.9;2.57
39500000;12.0;2.58
40000000;12.1;2.54
40500000;11.9;2.49
41000000;12.1;2.54
41500000;12.4;2.50
42000000;12.9;2.42
42500000;12.8;2.39
43000000;13.0;2.40
43500000;12.7;2.40
44000000;13.3;2.33
44500000;13.1;2.36
45000000;13.1;2.37
45500000;13.3;2.37
46000000;13.9;2.33
46500000;14.0;2.25
47000000;14.0;2.25
47500000;14.0;2.15
48000000;14.1;2.16
48500000;14.1;2.13
49000000;14.1;2.15
49500000;14.1;2.13
50000000;14.2;2.10
