Frequence Hz;A entree (V);A sortie (V)
500000;12.3;9.53
1000000;12.1;9.41
1500000;12.2;9.28
2000000;12.4;9.16
2500000;12.3;9.03
3000000;12.3;8.91
3500000;12.3;8.94
4000000;12.3;8.79
4500000;12.4;8.80
5000000;12.3;8.69
5500000;12.5;8.40
6000000;12.5;8.44
6500000;12.5;8.22
7000000;12.5;8.31
7500000;12.6;8.10
8000000;13.0;8.06
8500000;13.0;7.93
9000000;12.9;7.93
9500000;12.9;7.90
10000000;13.0;7.84
10500000;12.9;7.56
11000000;13.2;7.43
11500000;13.0;7.50
12000000;13.3;7.30
12500000;13.2;7.30
13000000;13.3;7.0
13500000;13.1;7.03
14000000;13.5;6.78
14500000;13.4;6.71
15000000;13.6;6.73
15500000;13.6;6.60
16000000;13.7;6.54
16500000;13.8;6.44
17000000;14.0;6.34
17500000;14.1;6.15
18000000;14.2;5.98
18500000;14.4;6.01
19000000;14.4;5.90
19500000;14.8;5.80
20000000;14.8;5.63
20500000;15.0;5.61
21000000;15.1;5.55
21500000;15.8;5.42
22000000;15.3;5.30
22500000;15.7;5.20
23000000;15.6;5.28
23500000;16.1;5.12
24000000;16.2;4.89
24500000;16.4;4.83
25000000;16.5;4.78
25500000;16.8;4.70
26000000;16.9;4.58
26500000;17.1;4.36
27000000;17.4;4.41
27500000;17.7;4.19
28000000;18.1;4.20
28500000;18.2;4.0
29000000;18.7;3.94
29500000;18.6;3.80
30000000;19.4;3.70
30500000;19.4;3.65
31000000;20.0;3.50
31500000;20.0;3.39
32000000;20.7;3.30
32500000;20.8;3.25
33000000;21.6;3.01
33500000;21.8;3.01
34000000;22.7;2.89
34500000;22.4;2.70
35000000;23.2;2.65
35500000;24.1;2.53
36000000;24.1;2.38
36500000;24.8;2.30
37000000;25.1;2.11
37500000;25.7;2.00
38000000;26.0;1.80
38500000;26.7;1.60
39000000;26.8;1.40
39500000;27.4;1.30
40000000;28.0;1.06
40500000;28.0;0.90
41000000;28.0;0.76
41500000;28.2;0.60
42000000;28.4;0.50
42500000;28.4;0.40
43000000;28.5;0.30
43500000;28.2;0.40
44000000;27.9;0.50
44500000;28.1;0.60
45000000;27.1;0.75
45500000;26.8;0.87
46000000;26.7;1.01
46500000;26.3;1.14
47000000;25.2;1.25
47500000;24.8;1.36
48000000;24.0;1.46
48500000;23.7;1.56
49000000;23.0;1.62
49500000;22.5;1.70
50000000;22.2;1.72
